year,country,eci,eci_norm,population,gdp_pc,gdp,inflation,economic_freedom,gross_fix_cap,trade_openness,fdi,human_capital,private_sec_cred,rule_of_law,fdi_gdp
1996,Lithuania,0.262575,0.22347169520810664,3601613,11306.692042994,22964402175.8402,18.9818334175257,49.7,2921622096.75054,93.1743540926612,152400000,2.77628231048584,11.73557,0.4498797,0.006636358257143445
1997,Lithuania,0.282998,0.23454400651446375,3575137,12335.0587679254,25270202754.9848,11.4505653143562,57.3,3670547443.78371,100.009375369424,362287500,2.807870388031006,10.09663,1.068723,0.014336548998544746
1998,Lithuania,0.328792,0.2593711829314111,3549331,13352.5202172779,27553343461.5084,3.35039209650807,59.4,4447841138.48341,89.6518082023317,918775000,2.839818000793457,11.24162,0.5944154,0.033345318011351856
1999,Lithuania,0.30198,0.24483508095099463,3524238,13295.0096487321,27565323899.1938,-1.25930488292347,61.5,4185671692.65588,74.8126693256546,564537500,2.872129201889038,13.56436,1.258094,0.02047998790308105
2000,Lithuania,0.279794,0.23280696076087373,3499536,13901.8708276818,29604692441.2476,1.28047492299845,61.9,3898482476.90812,83.2742947401989,380272500,2.9048078060150146,13.37138,0.2920864,0.01284500762014924
2001,Lithuania,0.192432,0.1854437300726317,3470818,14931.4194274433,32805212033.5297,-0.321999338204932,65.5,4394853794.41198,93.5501806330894,442400000,2.9379401206970215,12.8588,1.035779,0.013485661959685851
2002,Lithuania,0.161984,0.16893637392241087,3443067,16069.3783550623,36132747527.5176,0.316685364242915,66.1,4882077426.15833,100.359881587934,660790497.921648,2.9714503288269043,14.24683,0.4527944,0.018287856394491177
2003,Lithuania,0.164931,0.17053408735431774,3415213,17907.7316366874,41214452084.7705,-0.807966349120932,69.7,5568461642.34431,98.1259502026114,217398839.893754,3.005342721939087,18.55981,0.5413424,0.005274820576204794
2004,Lithuania,0.196164,0.1874670305571504,3377075,19296.1852213958,44008465206.2913,2.68824540273197,72.4,6448451794.69508,101.730610125854,871636185.309164,3.0396218299865723,24.60897,0.6070058,0.01980610278552859
2005,Lithuania,0.309178,0.24873747025634438,3322528,21128.5515595877,48263291601.7483,6.89836196046085,70.5,7188215289.65616,114.916938939763,1292673341.91889,3.074291706085205,32.63283,0.6287229,0.026783779121108763
2006,Lithuania,0.448797,0.3244317870698521,3269909,23058.6059472163,53893968504.078,6.74398777846079,71.8,8596635976.9864,121.504193432115,2259320966.19346,3.0892183780670166,42.50381,0.7163033,0.04192159213553746
2007,Lithuania,0.521501,0.3638481960801535,3231294,25921.2117447776,61698982117.4761,8.56798765446476,71.5,10516642240.4519,113.841429303506,2601625489.59341,3.104217052459717,49.60571,0.7266968,0.04216642479838424
2008,Lithuania,0.571855,0.39114757244603043,3198231,26877.4548412663,66344339088.5645,9.70480695282421,70.9,10096364131.5146,125.849417078669,1727660745.67137,3.119288682937622,58.1071,0.7224829,0.026040816283738666
2009,Lithuania,0.518934,0.36245649931065743,3162916,23151.4238149608,57437546514.3803,-3.29513424570823,70,6168619376.16543,105.558582059234,-360225678.65462,3.1344335079193115,88.95,0.7280318,-0.006271606301366518
2010,Lithuania,0.549397,0.37897198769755236,3097282,23992.4515963291,62112596122.8684,2.27287719920912,70.3,6259625718.36866,130.252143681798,1102761171.53247,3.1496520042419434,57.72232,0.7823634,0.01775422765055636
2011,Lithuania,0.64032,0.4282658113722282,3028115,26019.1980141278,69113557960.608,5.37761981909664,71.3,7520736591.01394,148.843784267841,1881321392.61323,3.165248155593872,51.50097,0.7749577,0.027220728437761934
2012,Lithuania,0.722513,0.4728266733025718,2987773,27381.3805315612,73635737734.6153,2.77711045420136,71.5,7386995563.03485,156.210213482176,676639240.902079,3.1810245513916016,46.91312,0.8504152,0.00918900606850305
2013,Lithuania,0.673455,0.446229922185338,2957689,28644.145309623,78911079132.147,1.35365104395785,72.1,8000077213.54894,156.129858512866,714214806.659026,3.1969845294952393,43.89564,0.8360037,0.009050881251579124
2014,Lithuania,0.63807,0.42704597587111165,2932367,29905.0027919257,82564270189.9137,0.918221818685311,73,8457103469.01164,142.864378289131,356531512.743346,3.213129997253418,41.15044,0.9391773,0.004318230051852392
2015,Lithuania,0.667051,0.44275799927460446,2904910,30801.4226065896,83730597415.0676,0.0913269037972952,74.7,8867782386.31867,138.640941551163,1043676603.7927,3.229464292526245,40.51094,1.008047,0.012464697924212911
